,tweetId,hashtags
0,1365798882177937408,fernbussimulator
0,1365798882177937408,flixbus
0,1365798882177937408,bvb
0,1365798882177937408,borus
1,1365604173698498568,Flix
2,1365517105429381122,
3,1365313179283304449,Covid
3,1365313179283304449,ristori
4,1365303178644893697,fernbussimulator
4,1365303178644893697,flixbus
4,1365303178644893697,bvb
4,1365303178644893697,borus
5,1365303178053488645,fernbussimulator
5,1365303178053488645,flixbus
5,1365303178053488645,bvb
5,1365303178053488645,borus
6,1365302181340082181,fernbussimulator
6,1365302181340082181,flixbus
6,1365302181340082181,bvb
7,1365235252290084865,flixbus
7,1365235252290084865,lyon
7,1365235252290084865,Geneve
8,1365216288428208130,ristori
9,1364795467624828930,Blablabus
9,1364795467624828930,Flixbus
10,1364694318510985221,FlixBus
11,1364693333931532290,FlixBus
12,1364380897714315264,Flixbus
12,1364380897714315264,busservice
12,1364380897714315264,FlixMobility
12,1364380897714315264,startups
12,1364380897714315264,entrepreneur
12,1364380897714315264,busi
13,1364379264280240131,Flixbus
13,1364379264280240131,busservice
13,1364379264280240131,FlixMobility
13,1364379264280240131,startups
14,1364287146065035267,Flixbus
14,1364287146065035267,viaggi
14,1364287146065035267,pandemia
14,1364287146065035267,Antitrust
15,1364220480467521544,FlixBus
16,1364213896618385411,Antitrust
16,1364213896618385411,Grimaldi
16,1364213896618385411,Flixbus
17,1364202397397110795,FlixBus
18,1364190137035423744,Flixbus
18,1364190137035423744,viaggi
18,1364190137035423744,pandemia
18,1364190137035423744,Antitrust
19,1364189272341942272,Flixbus
19,1364189272341942272,viaggi
19,1364189272341942272,pandemia
19,1364189272341942272,Antitrust
20,1364185469869830149,Voucher
20,1364185469869830149,Flixbus
20,1364185469869830149,Grimaldi
21,1364184489803603969,Voucher
21,1364184489803603969,Flixbus
21,1364184489803603969,Grimaldi
22,1364183846661537797,FlixBus
23,1364183834154201090,FlixBus
24,1364182187474575364,FlixBus
25,1364157268422496257,Flixbus
26,1364150712561762306,Flixbus
27,1364004730297593859,rosaminchia
27,1364004730297593859,flixbus
28,1363972217856524291,Perugia
28,1363972217856524291,FlixBus
29,1363930809498034176,FlixBus
29,1363930809498034176,BusinessModel
29,1363930809498034176,busservice
29,1363930809498034176,FlixMobility
29,1363930809498034176,startups
29,1363930809498034176,entrepreneur
30,1363791688611868673,Perugia
30,1363791688611868673,FlixBus
